year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	56657	43165	0
2015	F	15-19	1	1	3	56657	43165	0
2015	F	15-19	1	1	5	56657	43165	0
2015	F	15-19	1	1	4	56657	43165	0
2015	F	15-19	1	1	1	158673	56349	10593
2015	F	15-19	1	4	2	56657	43165	0
2015	F	15-19	1	4	3	56657	43165	0
2015	F	15-19	1	4	5	56657	43165	0
2015	F	15-19	1	4	4	56657	43165	0
2015	F	15-19	1	4	1	158673	56349	10593
2015	F	15-19	1	2	2	56657	43165	0
2015	F	15-19	1	2	3	56657	43165	0
2015	F	15-19	1	2	5	56657	43165	0
2015	F	15-19	1	2	4	56657	43165	0
2015	F	15-19	1	2	1	158673	56349	10593
2015	F	15-19	1	3	2	56657	43165	0
2015	F	15-19	1	3	3	56657	43165	0
2015	F	15-19	1	3	5	56657	43165	0
2015	F	15-19	1	3	4	56657	43165	0
2015	F	15-19	1	3	1	158673	56349	10593
2015	F	15-19	4	1	2	56657	43165	0
2015	F	15-19	4	1	3	56657	43165	0
2015	F	15-19	4	1	5	56657	43165	0
2015	F	15-19	4	1	4	56657	43165	0
2015	F	15-19	4	1	1	158673	56349	10593
2015	F	15-19	4	4	2	56657	43165	0
2015	F	15-19	4	4	3	56657	43165	0
2015	F	15-19	4	4	5	56657	43165	0
2015	F	15-19	4	4	4	56657	43165	0
2015	F	15-19	4	4	1	158673	56349	10593
2015	F	15-19	4	2	2	56657	43165	0
2015	F	15-19	4	2	3	56657	43165	0
2015	F	15-19	4	2	5	56657	43165	0
2015	F	15-19	4	2	4	56657	43165	0
2015	F	15-19	4	2	1	158673	56349	10593
2015	F	15-19	4	3	2	56657	43165	0
2015	F	15-19	4	3	3	56657	43165	0
2015	F	15-19	4	3	5	56657	43165	0
2015	F	15-19	4	3	4	56657	43165	0
2015	F	15-19	4	3	1	158673	56349	10593
2015	F	15-19	3	1	2	56657	43165	0
2015	F	15-19	3	1	3	56657	43165	0
2015	F	15-19	3	1	5	56657	43165	0
2015	F	15-19	3	1	4	56657	43165	0
2015	F	15-19	3	1	1	158673	56349	10593
2015	F	15-19	3	4	2	56657	43165	0
2015	F	15-19	3	4	3	56657	43165	0
2015	F	15-19	3	4	5	56657	43165	0
