year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	5099	11193	0
2015	F	15-19	1	1	3	5099	11193	0
2015	F	15-19	1	1	5	5099	11193	0
2015	F	15-19	1	1	4	5099	11193	0
2015	F	15-19	1	1	1	173069	69715	5598
2015	F	15-19	1	4	2	5099	11193	0
2015	F	15-19	1	4	3	5099	11193	0
2015	F	15-19	1	4	5	5099	11193	0
2015	F	15-19	1	4	4	5099	11193	0
2015	F	15-19	1	4	1	173069	69715	5598
2015	F	15-19	1	2	2	5099	11193	0
2015	F	15-19	1	2	3	5099	11193	0
2015	F	15-19	1	2	5	5099	11193	0
2015	F	15-19	1	2	4	5099	11193	0
2015	F	15-19	1	2	1	173069	69715	5598
2015	F	15-19	1	3	2	5099	11193	0
2015	F	15-19	1	3	3	5099	11193	0
2015	F	15-19	1	3	5	5099	11193	0
2015	F	15-19	1	3	4	5099	11193	0
2015	F	15-19	1	3	1	173069	69715	5598
2015	F	15-19	4	1	2	5099	11193	0
2015	F	15-19	4	1	3	5099	11193	0
2015	F	15-19	4	1	5	5099	11193	0
2015	F	15-19	4	1	4	5099	11193	0
2015	F	15-19	4	1	1	173069	69715	5598
2015	F	15-19	4	4	2	5099	11193	0
2015	F	15-19	4	4	3	5099	11193	0
2015	F	15-19	4	4	5	5099	11193	0
2015	F	15-19	4	4	4	5099	11193	0
2015	F	15-19	4	4	1	173069	69715	5598
2015	F	15-19	4	2	2	5099	11193	0
2015	F	15-19	4	2	3	5099	11193	0
2015	F	15-19	4	2	5	5099	11193	0
2015	F	15-19	4	2	4	5099	11193	0
2015	F	15-19	4	2	1	173069	69715	5598
2015	F	15-19	4	3	2	5099	11193	0
2015	F	15-19	4	3	3	5099	11193	0
2015	F	15-19	4	3	5	5099	11193	0
2015	F	15-19	4	3	4	5099	11193	0
2015	F	15-19	4	3	1	173069	69715	5598
2015	F	15-19	3	1	2	5099	11193	0
2015	F	15-19	3	1	3	5099	11193	0
2015	F	15-19	3	1	5	5099	11193	0
2015	F	15-19	3	1	4	5099	11193	0
2015	F	15-19	3	1	1	173069	69715	5598
2015	F	15-19	3	4	2	5099	11193	0
2015	F	15-19	3	4	3	5099	11193	0
2015	F	15-19	3	4	5	5099	11193	0
2015	F	15-19	3	4	4	5099	11193	0
2015	F	15-19	3	4	1	173069	69715	5598
2015	F	15-19	3	2	2	5099	11193	0
2015	F	15-19	3	2	3	5099	11193	0
2015	F	15-19	3	2	5	5099	11193	0
2015	F	15-19	3	2	4	5099	11193	0
2015	F	15-19	3	2	1	173069	69715	5598
2015	F	15-19	3	3	2	5099	11193	0
2015	F	15-19	3	3	3	5099	11193	0
2015	F	15-19	3	3	5	5099	11193	0
2015	F	15-19	3	3	4	5099	11193	0
2015	F	15-19	3	3	1	173069	69715	5598
2015	F	15-19	2	1	2	5099	11193	0
2015	F	15-19	2	1	3	5099	11193	0
2015	F	15-19	2	1	5	5099	11193	0
2015	F	15-19	2	1	4	5099	11193	0
2015	F	15-19	2	1	1	173069	69715	5598
2015	F	15-19	2	4	2	5099	11193	0
2015	F	15-19	2	4	3	5099	11193	0
2015	F	15-19	2	4	5	5099	11193	0
2015	F	15-19	2	4	4	5099	11193	0
2015	F	15-19	2	4	1	173069	69715	5598
2015	F	15-19	2	2	2	5099	11193	0
2015	F	15-19	2	2	3	5099	11193	0
2015	F	15-19	2	2	5	5099	11193	0
2015	F	15-19	2	2	4	5099	11193	0
2015	F	15-19	2	2	1	173069	69715	5598
2015	F	15-19	2	3	2	5099	11193	0
2015	F	15-19	2	3	3	5099	11193	0
2015	F	15-19	2	3	5	5099	11193	0
2015	F	15-19	2	3	4	5099	11193	0
2015	F	15-19	2	3	1	173069	69715	5598
2015	F	20-24	1	1	2	30905	75661	25164
2015	F	20-24	1	1	3	30905	75661	25164
2015	F	20-24	1	1	5	30905	75661	25164
2015	F	20-24	1	1	4	30905	75661	25164
2015	F	20-24	1	1	1	78202	169066	37871
2015	F	20-24	1	4	2	30905	75661	25164
